pin,start_address,data_type,access,next_pin
AIN0,0,FLOAT32,R,AIN1
AIN1,2,FLOAT32,R,AIN2
AIN2,4,FLOAT32,R,AIN3
AIN3,6,FLOAT32,R,AIN4
AIN4,8,FLOAT32,R,AIN5
AIN5,10,FLOAT32,R,AIN6
AIN6,12,FLOAT32,R,AIN7
AIN7,14,FLOAT32,R,AIN8
AIN8,16,FLOAT32,R,AIN9
AIN9,18,FLOAT32,R,AIN10
AIN10,20,FLOAT32,R,AIN11
AIN11,22,FLOAT32,R,AIN12
AIN12,24,FLOAT32,R,AIN13
AIN13,26,FLOAT32,R,AIN14
AIN14,28,FLOAT32,R,AIN15
AIN15,30,FLOAT32,R,AIN16
AIN16,32,FLOAT32,R,AIN17
AIN17,34,FLOAT32,R,AIN18
AIN18,36,FLOAT32,R,AIN19
AIN19,38,FLOAT32,R,AIN20
AIN20,40,FLOAT32,R,AIN21
AIN21,42,FLOAT32,R,AIN22
AIN22,44,FLOAT32,R,AIN23
AIN23,46,FLOAT32,R,AIN24
AIN24,48,FLOAT32,R,AIN25
AIN25,50,FLOAT32,R,AIN26
AIN26,52,FLOAT32,R,AIN27
AIN27,54,FLOAT32,R,AIN28
AIN28,56,FLOAT32,R,AIN29
AIN29,58,FLOAT32,R,AIN30
AIN30,60,FLOAT32,R,AIN31
AIN31,62,FLOAT32,R,AIN32
AIN32,64,FLOAT32,R,AIN33
AIN33,66,FLOAT32,R,AIN34
AIN34,68,FLOAT32,R,AIN35
AIN35,70,FLOAT32,R,AIN36
AIN36,72,FLOAT32,R,AIN37
AIN37,74,FLOAT32,R,AIN38
AIN38,76,FLOAT32,R,AIN39
AIN39,78,FLOAT32,R,AIN40
AIN40,80,FLOAT32,R,AIN41
AIN41,82,FLOAT32,R,AIN42
AIN42,84,FLOAT32,R,AIN43
AIN43,86,FLOAT32,R,AIN44
AIN44,88,FLOAT32,R,AIN45
AIN45,90,FLOAT32,R,AIN46
AIN46,92,FLOAT32,R,AIN47
AIN47,94,FLOAT32,R,AIN48
AIN48,96,FLOAT32,R,AIN49
AIN49,98,FLOAT32,R,AIN50
AIN50,100,FLOAT32,R,AIN51
AIN51,102,FLOAT32,R,AIN52
AIN52,104,FLOAT32,R,AIN53
AIN53,106,FLOAT32,R,AIN54
AIN54,108,FLOAT32,R,AIN55
AIN55,110,FLOAT32,R,AIN56
AIN56,112,FLOAT32,R,AIN57
AIN57,114,FLOAT32,R,AIN58
AIN58,116,FLOAT32,R,AIN59
AIN59,118,FLOAT32,R,AIN60
AIN60,120,FLOAT32,R,AIN61
AIN61,122,FLOAT32,R,AIN62
AIN62,124,FLOAT32,R,AIN63
AIN63,126,FLOAT32,R,AIN64
AIN64,128,FLOAT32,R,AIN65
AIN65,130,FLOAT32,R,AIN66
AIN66,132,FLOAT32,R,AIN67
AIN67,134,FLOAT32,R,AIN68
AIN68,136,FLOAT32,R,AIN69
AIN69,138,FLOAT32,R,AIN70
AIN70,140,FLOAT32,R,AIN71
AIN71,142,FLOAT32,R,AIN72
AIN72,144,FLOAT32,R,AIN73
AIN73,146,FLOAT32,R,AIN74
AIN74,148,FLOAT32,R,AIN75
AIN75,150,FLOAT32,R,AIN76
AIN76,152,FLOAT32,R,AIN77
AIN77,154,FLOAT32,R,AIN78
AIN78,156,FLOAT32,R,AIN79
AIN79,158,FLOAT32,R,AIN80
AIN80,160,FLOAT32,R,AIN81
AIN81,162,FLOAT32,R,AIN82
AIN82,164,FLOAT32,R,AIN83
AIN83,166,FLOAT32,R,AIN84
AIN84,168,FLOAT32,R,AIN85
AIN85,170,FLOAT32,R,AIN86
AIN86,172,FLOAT32,R,AIN87
AIN87,174,FLOAT32,R,AIN88
AIN88,176,FLOAT32,R,AIN89
AIN89,178,FLOAT32,R,AIN90
AIN90,180,FLOAT32,R,AIN91
AIN91,182,FLOAT32,R,AIN92
AIN92,184,FLOAT32,R,AIN93
AIN93,186,FLOAT32,R,AIN94
AIN94,188,FLOAT32,R,AIN95
AIN95,190,FLOAT32,R,AIN96
AIN96,192,FLOAT32,R,AIN97
AIN97,194,FLOAT32,R,AIN98
AIN98,196,FLOAT32,R,AIN99
AIN99,198,FLOAT32,R,AIN100
AIN100,200,FLOAT32,R,AIN101
AIN101,202,FLOAT32,R,AIN102
AIN102,204,FLOAT32,R,AIN103
AIN103,206,FLOAT32,R,AIN104
AIN104,208,FLOAT32,R,AIN105
AIN105,210,FLOAT32,R,AIN106
AIN106,212,FLOAT32,R,AIN107
